"DECOMP" "DOC" "POC"
3 1 3
10.5068710248823 0.988196327442203 -7.71699122312241
-8.79503037375942 0.976531981570258 19.8480323727726
40.6219161931889 0.965005317817587 -50.7155093046795
-85.2701164411021 0.953614711029535 129.056312383187
233.91679520429 0.942358555234245 -326.72930095422
-571.386978641355 0.931235263416222 823.216239939795
1450.39728301102 0.920243267292583 -2063.8098990042
-3600.22078534351 0.909381017091944 5148.26333157224
8953.41786828433 0.898646981335915 -12777.7789931994
-22091.3338603738 0.888039646623173 31552.692727051
54288.5595684041 0.877557517416092 -77514.0900120872
-132659.299151102 0.86719911582988 189437.958988005
322528.66398962 0.856962981424213 -460546.277957323
-779944.114736669 0.846847670997328 1113723.71343118
1876065.51148022 0.836851758382543 -2678904.43212702
-4488279.47969959 0.826973834247179 6408996.85498729
10679343.5198415 0.81721250589386 -15249418.2483552
-25270609.7569022 0.807566397064152 36084773.5650178
59466409.0458811 0.798034147744527 -84913959.1211742
-139151740.368943 0.788614413974611 198698826.320234
323774965.449954 0.779305867657695 -462326856.823615
-749051665.423398 0.770107196373494 1069588812.36602
1722940602.04751 0.761017103193099 -2460223601.8701
-3939986395.48887 0.752034306496125 5625980093.33093
8956961410.14924 0.743157539790015 -12789788229.5799
-20241546960.1989 0.734385551531476 28903173096.4776
45469371926.709 0.725717104950021 -64926193427.0374
-101522309229.814 0.717150977873599 144964488142.449
225292169429.687 0.708685962556275 -321695790708.479
-496875242990.177 0.700320865507954 709489172385.415
1089029440013.22 0.692054507326105 -1555024213527.3
-2371903423662.91 0.683885722529481 3386831957210.01
5133261519979.81 0.675813359393791 -7329749597800.3
-11038306220372.1 0.667836279789322 15761490185159.6
23582918961090.6 0.659953359020471 -33673749417886.3
-50055514066577.9 0.652163485667176 71473477223866.3
105545195628481 0.644465561428209 -150705989096075
-221070030278056 0.636858500966334 315661022494060
459937226795529 0.629341231755278 -656732766117608
-950422528067689 0.621912693928518 1357081303915284
1950546330534796 0.614571840129849 -2785123302956694
-3975473543503442 0.607317635365714 5676439632103928
8046108951613002 0.600149056859281 -11488730774754912
-16170316552261656 0.593065093906244 23088921140169712
32266923612354632 0.586064747732316 -46072485559527280
-63925422237188392 0.579147031352416 91276007960650576
125729431932373216 0.572310969431512 -179522514948214848
-245480850359863584 0.565555598147107 350508468115125376
475757153806789632 0.55887996505335 -679305507443608064
-915186298960446848 0.552283128946747 1306737088322857984
1747267100561936640 0.545764159733465 -2494806654639917056
-3310575732516245504 0.53932213829819 4726938963113422848
6224589487943450624 0.532956156374547 -8887631546687894528
-11613124237124141056 0.52666531641704 16581478225934497792
21497427337180856320 0.520448731474505 -30694424471135940608
-39481217309558358016 0.514305525065059 56371859108483260416
71933044966930923520 0.508234831052526 -1.02706770106552e+20
-1.3000711528709e+20 0.502235793524315 1.85625030874263e+20
2.33062889955672e+20 0.496307566670748 -3.32767818511211e+20
-4.14393251696219e+20 0.49044931466581 5.91670106227299e+20
7.30721056871226e+20 0.484660211549299 -1.04331949190113e+21
-1.27777818726855e+21 0.478939441110379 1.82439931174811e+21
2.21558975726029e+21 0.473286196772498 -3.16338822717752e+21
-3.80906176504035e+21 0.46769968147967 5.43850911234356e+21
6.49240858580054e+21 0.462179107584098 -9.26971482793262e+21
-1.09702574395277e+22 0.456723696735121 1.56630386184239e+22
1.8374457704381e+22 0.451332679769473 -2.62344753212182e+22
-3.05043769390566e+22 0.446005296602841 4.35530574743262e+22
5.01906098790214e+22 0.440740796122699 -7.16601286009159e+22
-8.18385297038893e+22 0.435538436082404 1.16845376639216e+23
1.32230033784896e+23 0.430397482996552 -1.88791488638255e+23
-2.11690231373202e+23 0.425317212037561 3.02239825800918e+23
3.35761554286267e+23 0.420296906933474 -4.79380531788238e+23
-5.275712461633e+23 0.415335859866977 7.53232551237672e+23
8.21128943475088e+23 0.410433371375596 -1.17235149557539e+24
-1.26584725585405e+24 0.405588750253086 1.80728351287307e+24
1.93263599813197e+24 0.400801313451973 -2.75926574870155e+24
-2.92197335955634e+24 0.396070385987251 4.17174911371432e+24
4.37439464233824e+24 0.391395300841217 -6.24537237465031e+24
-6.48384697832233e+24 0.386775398869427 9.25702766634548e+24
9.51431799617938e+24 0.382210028707761 -1.35835997679891e+25
-1.38200351244285e+25 0.377698546680589 1.97308025800304e+25
1.9869324738218e+25 0.373240316710016 -2.83672400056266e+25
-2.82718911857935e+25 0.368834710226202 4.03633484756651e+25
3.98088032276521e+25 0.364481106078742 -5.68342037767162e+25
-5.54638474389972e+25 0.360178890449085 7.91842783115807e+25
7.64541290271941e+25 0.355927456763994 -1.09151122681323e+26
-1.04256899027196e+26 0.351726205610022 1.48843658548461e+26
1.40628623671624e+26 0.347574544649005 -2.00769394809081e+26
-1.87611385403025e+26 0.343471888534543 2.67843556818264e+26
2.47520953819237e+26 0.339417658829473 -3.53372046244818e+26
-3.22910462878598e+26 0.335411283924316 4.60999575565333e+26
4.16503775555378e+26 0.331452198956683 -5.94614528348463e+26
-5.31093508294411e+26 0.327539845731637 7.5820336906076e+26
6.69400495101971e+26 0.32367367264299 -9.55650006844869e+26
-8.33894296540423e+26 0.319853134595532 1.19047955158333e+27
1.02657819300329e+27 0.316077692928182 -1.46555137427224e+27
-1.2487467850628e+27 0.312346815338034 1.78271306969431e+27
1.50072951957213e+27 0.308659975805313 -2.14243433667331e+27
-1.78163864832271e+27 0.30501665451921 2.54344719706309e+27
2.08914462679273e+27 0.30141633780459 -2.98242539885541e+27
-2.41930499444984e+27 0.297858518049575 3.45374017871941e+27
2.76647356110969e+27 0.294342693633967 -3.94933067566325e+27
-3.12331459091948e+27 0.290868368858532 4.4587242410332e+27
3.48094121767414e+27 0.287435053875105 -4.96923409712e+27
-3.82918851799383e+27 0.284042264617531 5.46634922265351e+27
4.15701996597669e+27 0.28068952273341 -5.93431463619439e+27
-4.45305235802795e+27 0.277376355516661 6.35688078388515e+27
4.7061701544286e+27 0.274102295840867 -6.71818055028558e+27
-4.90618728190678e+27 0.270866882093421 7.00367399414834e+27
5.04450462803973e+27 0.267669658110439 -7.20108690445688e+27
-5.1147064088451e+27 0.264510173112446 7.30126206688993e+27
